LoanStatus,LenderYield,ProsperRating (numeric),ProsperScore,ListingCategory (numeric),Occupation,EmploymentStatus,IsBorrowerHomeowner,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,IncomeRange,TotalProsperLoans,OnTimeProsperPayments,BorrowerState
Current,0.0659,7.0,10.0,2,Professor,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,5.0,CA
Current,0.1314,5.0,7.0,6,Teacher,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,9.0,CA
Current,0.2612,2.0,3.0,6,Other,Other,True,0.0,0.0,33.0,"$50,000-74,999",1.0,9.0,TN
Completed,0.0749,6.0,9.0,1,Computer Programmer,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",3.0,26.0,IL
Chargedoff,0.34,1.0,4.0,1,Other,Full-time,True,0.0,0.0,0.0,"$25,000-49,999",1.0,14.0,NH
Current,0.3204,2.0,3.0,2,Other,Other,False,0.0,0.0,0.0,"$25,000-49,999",1.0,8.0,NC
Current,0.1199,6.0,7.0,3,Sales - Retail,Self-employed,True,1.0,7184.0,8.0,"$50,000-74,999",3.0,41.0,MI
Current,0.1599,4.0,6.0,2,Other,Full-time,True,1.0,182.0,2.0,"$50,000-74,999",1.0,31.0,GA
Current,0.2399,3.0,6.0,1,Computer Programmer,Employed,False,0.0,0.0,4.0,"$50,000-74,999",1.0,35.0,GA
Current,0.0709,7.0,11.0,1,Other,Employed,True,0.0,0.0,17.0,"$100,000+",1.0,10.0,AL
Completed,0.2535,3.0,8.0,1,Professional,Full-time,False,0.0,0.0,0.0,"$50,000-74,999",1.0,2.0,TX
Current,0.184,4.0,6.0,1,Other,Employed,False,0.0,0.0,4.0,"$50,000-74,999",2.0,66.0,ID
Current,0.2081,4.0,5.0,1,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,12.0,GA
Completed,0.1149,6.0,6.0,1,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,6.0,TX
Current,0.0505,7.0,11.0,1,Other,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,10.0,MO
Current,0.1119,6.0,10.0,1,Accountant/CPA,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,2.0,TX
Current,0.2816,2.0,5.0,2,Laborer,Employed,True,0.0,0.0,0.0,"$25,000-49,999",2.0,52.0,AL
Current,0.1985,3.0,5.0,20,Waiter/Waitress,Employed,False,0.0,0.0,0.0,"$1-24,999",1.0,16.0,CT
Current,0.1459,5.0,5.0,2,Nurse (RN),Employed,True,1.0,2539.0,0.0,"$75,000-99,999",1.0,23.0,IL
Chargedoff,0.3025,1.0,4.0,1,Administrative Assistant,Employed,False,0.0,0.0,33.0,"$75,000-99,999",1.0,23.0,NY
Current,0.2399,3.0,5.0,7,Professional,Self-employed,True,0.0,0.0,0.0,"$100,000+",2.0,45.0,FL
Current,0.0616,7.0,11.0,15,Doctor,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,3.0,NY
Completed,0.2474,3.0,5.0,1,Other,Employed,False,0.0,0.0,3.0,"$25,000-49,999",1.0,14.0,MI
Past Due (16-30 days),0.2099,3.0,2.0,3,Other,Employed,True,0.0,0.0,1.0,"$50,000-74,999",1.0,2.0,OK
Current,0.1365,5.0,7.0,1,Tradesman - Mechanic,Employed,True,1.0,233.0,3.0,"$25,000-49,999",1.0,34.0,OH
Completed,0.3,2.0,7.0,5,Tradesman - Electrician,Full-time,False,1.0,75.0,0.0,"$50,000-74,999",1.0,30.0,IL
Current,0.0666,7.0,11.0,1,Other,Employed,False,0.0,0.0,8.0,"$50,000-74,999",1.0,9.0,MI
Current,0.2899,2.0,1.0,2,Computer Programmer,Employed,True,0.0,0.0,3.0,"$50,000-74,999",1.0,24.0,TN
Completed,0.2162,4.0,7.0,3,Sales - Commission,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,10.0,GA
Current,0.0939,6.0,10.0,2,Professional,Employed,True,0.0,0.0,0.0,"$50,000-74,999",3.0,60.0,PA
Completed,0.084,6.0,9.0,7,Professional,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",2.0,24.0,GA
Current,0.156,4.0,5.0,1,Nurse (LPN),Employed,False,0.0,0.0,12.0,"$50,000-74,999",1.0,13.0,RI
Current,0.2099,4.0,6.0,1,Professional,Full-time,False,0.0,0.0,0.0,"$50,000-74,999",1.0,21.0,IL
Completed,0.0665,7.0,10.0,7,Professional,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,4.0,GA
Completed,0.2105,4.0,3.0,7,Clerical,Full-time,False,3.0,1540.0,5.0,"$50,000-74,999",1.0,30.0,GA
Completed,0.2399,3.0,7.0,7,Professional,Full-time,False,0.0,0.0,0.0,"$100,000+",3.0,24.0,CA
Chargedoff,0.1029,6.0,8.0,1,Professional,Employed,True,7.0,12820.0,0.0,"$100,000+",1.0,35.0,VA
Current,0.1199,6.0,11.0,1,Civil Service,Employed,False,0.0,0.0,0.0,"$100,000+",2.0,15.0,VA
Completed,0.082,6.0,9.0,7,Administrative Assistant,Full-time,True,0.0,0.0,0.0,"$25,000-49,999",1.0,15.0,CA
Current,0.1264,6.0,8.0,6,Other,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,7.0,CA
Current,0.1374,5.0,9.0,3,Professional,Employed,True,2.0,10612.0,53.0,"$75,000-99,999",2.0,15.0,CA
Current,0.2187,3.0,5.0,1,Administrative Assistant,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,9.0,TN
Completed,0.1639,3.0,5.0,1,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,29.0,CA
Current,0.0864,6.0,8.0,1,Tradesman - Mechanic,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,9.0,LA
FinalPaymentInProgress,0.0999,5.0,9.0,1,Other,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,10.0,CA
Completed,0.2387,3.0,6.0,1,Engineer - Electrical,Full-time,False,0.0,0.0,0.0,"$75,000-99,999",2.0,69.0,CA
Current,0.2172,3.0,5.0,7,Retail Management,Employed,False,0.0,0.0,0.0,"$25,000-49,999",2.0,49.0,GA
Completed,0.1133,6.0,9.0,1,Nurse (RN),Full-time,True,0.0,0.0,0.0,"$50,000-74,999",1.0,2.0,WA
Current,0.0999,6.0,11.0,1,Analyst,Employed,False,1.0,0.0,0.0,"$50,000-74,999",2.0,28.0,MN
Completed,0.2862,2.0,2.0,19,Clerical,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,9.0,MD
Completed,0.21,2.0,6.0,7,Other,Employed,False,1.0,0.0,0.0,"$25,000-49,999",1.0,20.0,GA
Current,0.1039,6.0,9.0,1,Sales - Retail,Employed,False,1.0,283.0,0.0,"$25,000-49,999",1.0,25.0,TX
Current,0.0874,6.0,8.0,1,Professional,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,7.0,IN
Completed,0.173,5.0,5.0,1,Administrative Assistant,Employed,False,0.0,0.0,0.0,"$25,000-49,999",2.0,20.0,IL
Completed,0.1234,6.0,10.0,14,Professional,Employed,True,2.0,11228.0,28.0,"$75,000-99,999",1.0,7.0,NY
Current,0.1053,6.0,8.0,2,Truck Driver,Employed,True,0.0,0.0,9.0,"$25,000-49,999",1.0,3.0,IL
Completed,0.2973,2.0,1.0,7,Sales - Retail,Self-employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,20.0,IN
Current,0.0699,7.0,10.0,3,Medical Technician,Employed,False,0.0,0.0,0.0,"$100,000+",1.0,2.0,CA
Current,0.1752,5.0,6.0,15,Professional,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,11.0,OH
Chargedoff,0.101,6.0,8.0,1,Retail Management,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,26.0,WI
Current,0.1103,6.0,9.0,2,Pilot - Private/Commercial,Employed,True,0.0,0.0,0.0,"$100,000+",3.0,58.0,IL
Completed,0.2469,3.0,8.0,3,Analyst,Employed,False,0.0,0.0,0.0,"$100,000+",1.0,9.0,NY
Current,0.2059,4.0,4.0,19,Professional,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,11.0,GA
Current,0.0989,6.0,7.0,1,Analyst,Employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,13.0,NE
Current,0.2767,3.0,2.0,7,Other,Self-employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,8.0,NY
Current,0.1196,6.0,8.0,7,Postal Service,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",1.0,13.0,NY
Current,0.173,5.0,5.0,14,Professional,Employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,13.0,IL
Chargedoff,0.1745,5.0,7.0,1,Other,Employed,False,1.0,776.0,0.0,"$25,000-49,999",1.0,14.0,RI
Current,0.142,5.0,7.0,13,Other,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,10.0,PA
Current,0.1924,4.0,3.0,1,Other,Retired,False,0.0,0.0,0.0,"$25,000-49,999",1.0,35.0,CA
Completed,0.2895,1.0,5.0,1,Civil Service,Full-time,True,0.0,130.0,13.0,"$50,000-74,999",2.0,32.0,GA
Completed,0.0874,6.0,9.0,1,Tradesman - Electrician,Full-time,False,0.0,0.0,0.0,"$25,000-49,999",3.0,34.0,NJ
Current,0.1774,4.0,4.0,1,Other,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,11.0,CA
Completed,0.279,2.0,8.0,1,Other,Full-time,False,0.0,0.0,0.0,"$50,000-74,999",2.0,14.0,WA
Current,0.163,4.0,8.0,1,Professional,Employed,True,0.0,0.0,0.0,"$75,000-99,999",2.0,31.0,TN
Defaulted,0.101,6.0,8.0,7,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,23.0,IL
Defaulted,0.2605,3.0,5.0,1,Construction,Employed,True,3.0,8265.0,9.0,"$50,000-74,999",1.0,5.0,CA
Current,0.14,5.0,7.0,1,Social Worker,Employed,False,0.0,0.0,0.0,"$75,000-99,999",3.0,54.0,CA
Completed,0.1179,5.0,4.0,1,Accountant/CPA,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,35.0,CA
Current,0.1628,6.0,7.0,15,Engineer - Electrical,Employed,False,1.0,0.0,47.0,"$100,000+",1.0,7.0,CA
Completed,0.1029,6.0,8.0,1,Professional,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,6.0,DC
Completed,0.1694,1.0,5.0,1,Analyst,Employed,False,1.0,114.0,0.0,"$25,000-49,999",1.0,30.0,CA
Completed,0.2187,3.0,5.0,1,Sales - Retail,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",2.0,41.0,VA
Completed,0.1223,4.0,5.0,1,Other,Employed,False,1.0,101.0,0.0,"$75,000-99,999",1.0,14.0,NJ
Current,0.2055,3.0,8.0,1,Administrative Assistant,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,7.0,MI
Current,0.2125,3.0,6.0,1,Clerical,Employed,False,0.0,0.0,6.0,"$25,000-49,999",1.0,14.0,AR
Current,0.2869,2.0,5.0,2,Clerical,Employed,False,6.0,2008.0,16.0,"$25,000-49,999",2.0,47.0,MO
Current,0.1299,5.0,8.0,2,Sales - Retail,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,16.0,CA
Chargedoff,0.2187,3.0,5.0,1,Social Worker,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,7.0,PA
Completed,0.06,7.0,10.0,7,Other,Full-time,True,0.0,0.0,0.0,"$75,000-99,999",1.0,5.0,OR
Current,0.0599,7.0,10.0,1,Professional,Full-time,False,0.0,0.0,0.0,"$50,000-74,999",3.0,37.0,CA
Current,0.1539,5.0,4.0,18,Professional,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,9.0,GA
Current,0.2187,3.0,3.0,1,Nurse (RN),Employed,True,1.0,4757.0,1.0,"$75,000-99,999",1.0,6.0,IL
Current,0.1752,5.0,6.0,1,Clerical,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,7.0,PA
Current,0.1752,5.0,5.0,6,Skilled Labor,Self-employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,9.0,AL
Current,0.193,3.0,7.0,3,Food Service,Full-time,True,0.0,0.0,0.0,"$25,000-49,999",3.0,61.0,GA
Completed,0.2595,2.0,7.0,1,Other,Part-time,False,0.0,0.0,15.0,"$25,000-49,999",1.0,18.0,FL
Current,0.0559,7.0,11.0,13,Engineer - Electrical,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,6.0,CA
Current,0.275,2.0,2.0,2,Computer Programmer,Employed,True,0.0,0.0,17.0,"$25,000-49,999",2.0,22.0,VA
Current,0.2059,4.0,3.0,1,Other,Employed,False,0.0,0.0,5.0,"$50,000-74,999",2.0,20.0,MD
Completed,0.1839,4.0,9.0,13,Executive,Employed,False,2.0,530.0,0.0,"$50,000-74,999",2.0,58.0,GA
Completed,0.2899,2.0,3.0,1,Other,Full-time,False,0.0,0.0,0.0,"$1-24,999",1.0,10.0,CA
Completed,0.2899,2.0,1.0,6,Other,Employed,True,1.0,0.0,13.0,"$50,000-74,999",1.0,16.0,AZ
Completed,0.0934,6.0,10.0,3,Computer Programmer,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,14.0,CA
Current,0.2739,2.0,4.0,13,Sales - Retail,Employed,True,0.0,0.0,21.0,"$75,000-99,999",3.0,44.0,MI
Current,0.2686,2.0,3.0,19,Other,Employed,True,1.0,100.0,0.0,"$50,000-74,999",1.0,15.0,FL
Completed,0.1019,5.0,7.0,3,Executive,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,12.0,DC
Completed,0.2159,3.0,5.0,3,Retail Management,Employed,False,1.0,5494.0,4.0,"$50,000-74,999",2.0,55.0,CA
Defaulted,0.1905,5.0,7.0,1,Other,Other,False,0.0,0.0,0.0,"$1-24,999",1.0,12.0,NC
Current,0.0874,6.0,8.0,1,Other,Employed,True,0.0,0.0,0.0,"$50,000-74,999",2.0,16.0,FL
Current,0.2369,3.0,4.0,1,Professional,Employed,False,0.0,0.0,64.0,"$25,000-49,999",1.0,8.0,OH
Current,0.1099,6.0,8.0,1,Computer Programmer,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,9.0,GA
Completed,0.1,4.0,9.0,1,Executive,Full-time,False,0.0,0.0,0.0,"$75,000-99,999",1.0,1.0,NY
Current,0.1585,4.0,7.0,7,Administrative Assistant,Employed,False,0.0,0.0,0.0,"$25,000-49,999",2.0,9.0,MN
Current,0.0505,7.0,11.0,1,Retail Management,Employed,True,0.0,0.0,0.0,"$25,000-49,999",2.0,16.0,NC
Current,0.2109,4.0,3.0,15,Food Service Management,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,8.0,WA
Current,0.1039,6.0,11.0,1,Teacher,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,20.0,CA
Completed,0.3204,2.0,1.0,2,Sales - Retail,Employed,True,1.0,1180.0,2.0,"$50,000-74,999",1.0,11.0,IN
Past Due (1-15 days),0.1249,5.0,11.0,2,Sales - Commission,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,7.0,FL
Current,0.1652,5.0,7.0,2,Professional,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,9.0,OH
Chargedoff,0.1599,4.0,8.0,1,Teacher,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,10.0,OR
Chargedoff,0.2081,4.0,5.0,1,Analyst,Full-time,True,0.0,0.0,0.0,"$25,000-49,999",1.0,8.0,NC
Current,0.1349,5.0,6.0,20,Other,Other,False,0.0,0.0,0.0,"$1-24,999",1.0,6.0,MA
Completed,0.2999,2.0,7.0,1,Laborer,Employed,True,0.0,0.0,1.0,"$50,000-74,999",1.0,5.0,GA
Completed,0.2799,2.0,5.0,7,Computer Programmer,Full-time,True,0.0,0.0,5.0,"$75,000-99,999",1.0,19.0,GA
Completed,0.0864,6.0,10.0,20,Accountant/CPA,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,18.0,IL
Current,0.2999,2.0,3.0,1,Other,Employed,True,1.0,23.0,0.0,"$50,000-74,999",1.0,8.0,NY
Current,0.1945,4.0,6.0,1,Other,Employed,False,0.0,0.0,18.0,"$50,000-74,999",1.0,16.0,MN
Current,0.1314,5.0,8.0,6,Executive,Employed,False,1.0,50.0,0.0,"$25,000-49,999",2.0,70.0,CA
Chargedoff,0.2187,3.0,5.0,14,Waiter/Waitress,Employed,False,1.0,0.0,0.0,"$25,000-49,999",1.0,9.0,NJ
Chargedoff,0.2999,2.0,3.0,7,Teacher,Full-time,False,0.0,0.0,2.0,"$25,000-49,999",2.0,50.0,NY
Completed,0.1701,3.0,3.0,15,Other,Employed,False,0.0,0.0,0.0,"$75,000-99,999",2.0,14.0,MI
Current,0.1634,4.0,5.0,1,Other,Full-time,False,2.0,1137.0,3.0,"$25,000-49,999",2.0,65.0,MI
Chargedoff,0.306,2.0,1.0,1,Executive,Self-employed,True,0.0,0.0,0.0,"$100,000+",1.0,34.0,WI
Current,0.0864,6.0,8.0,20,Tradesman - Electrician,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,35.0,WA
Current,0.2193,4.0,3.0,3,Other,Employed,True,0.0,0.0,0.0,"$25,000-49,999",2.0,15.0,VA
Current,0.0599,7.0,10.0,15,Nurse (RN),Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,4.0,OH
Current,0.1199,6.0,5.0,2,Realtor,Self-employed,True,0.0,0.0,0.0,"$100,000+",1.0,18.0,NV
Completed,0.1599,4.0,6.0,1,Military Officer,Full-time,True,0.0,0.0,0.0,"$100,000+",2.0,47.0,IL
Completed,0.1799,4.0,6.0,1,Other,Full-time,False,0.0,0.0,0.0,"$25,000-49,999",3.0,39.0,WA
Current,0.2187,3.0,2.0,1,Other,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,5.0,FL
Current,0.1319,5.0,8.0,2,Other,Other,False,0.0,0.0,0.0,"$50,000-74,999",1.0,11.0,FL
Completed,0.2475,3.0,8.0,1,Nurse (RN),Full-time,True,0.0,0.0,10.0,"$75,000-99,999",1.0,24.0,WI
Current,0.3077,1.0,1.0,19,Military Enlisted,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,12.0,GA
Current,0.1246,6.0,9.0,13,Postal Service,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,28.0,IL
Current,0.163,4.0,6.0,1,Computer Programmer,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,5.0,PA
Completed,0.2399,3.0,6.0,3,Other,Self-employed,False,1.0,181.0,0.0,"$25,000-49,999",1.0,32.0,KY
Completed,0.0974,6.0,8.0,1,Clerical,Full-time,False,0.0,0.0,0.0,"$25,000-49,999",4.0,63.0,IL
Completed,0.3025,1.0,2.0,7,Food Service,Employed,False,0.0,0.0,0.0,"$25,000-49,999",3.0,43.0,NY
Completed,0.1199,6.0,6.0,1,Accountant/CPA,Employed,True,0.0,0.0,12.0,"$75,000-99,999",1.0,1.0,TX
Current,0.1839,4.0,5.0,1,Other,Employed,True,1.0,71.0,0.0,"$100,000+",1.0,7.0,OK
Current,0.3025,1.0,1.0,3,Other,Self-employed,True,0.0,0.0,2.0,"$100,000+",1.0,29.0,MI
Current,0.166,4.0,5.0,1,Professional,Self-employed,False,0.0,0.0,0.0,"$25,000-49,999",4.0,82.0,MD
Current,0.0599,7.0,10.0,1,Accountant/CPA,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,18.0,NJ
Completed,0.0858,5.0,6.0,1,Realtor,Self-employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,25.0,NJ
Current,0.2204,3.0,3.0,1,Other,Employed,False,0.0,0.0,0.0,"$75,000-99,999",3.0,8.0,AZ
Current,0.1199,6.0,6.0,1,Other,Employed,False,0.0,0.0,6.0,"$25,000-49,999",1.0,13.0,OH
Chargedoff,0.2099,4.0,7.0,1,Professional,Employed,True,0.0,0.0,0.0,"$50,000-74,999",2.0,25.0,AZ
Current,0.1628,6.0,7.0,1,Sales - Retail,Full-time,False,0.0,0.0,0.0,"$25,000-49,999",1.0,8.0,MI
Current,0.1579,5.0,5.0,1,Professional,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,6.0,KS
Completed,0.0465,7.0,10.0,2,Professional,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,2.0,UT
Completed,0.0806,4.0,5.0,3,Realtor,Self-employed,False,0.0,0.0,0.0,"$100,000+",1.0,24.0,MI
Current,0.173,5.0,5.0,2,Administrative Assistant,Employed,True,0.0,0.0,0.0,"$25,000-49,999",2.0,32.0,WI
Current,0.1314,5.0,6.0,1,Computer Programmer,Employed,False,0.0,0.0,0.0,"$75,000-99,999",2.0,44.0,WA
Completed,0.0465,7.0,10.0,1,Engineer - Electrical,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,6.0,CA
Defaulted,0.173,5.0,7.0,1,Clerical,Employed,False,0.0,0.0,0.0,"$25,000-49,999",2.0,13.0,CA
Completed,0.1265,5.0,9.0,1,Engineer - Electrical,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,6.0,WI
Current,0.1369,5.0,6.0,1,Other,Employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,35.0,AR
Current,0.2899,2.0,2.0,1,Student - College Graduate Student,Self-employed,False,0.0,0.0,0.0,"$1-24,999",1.0,11.0,FL
Current,0.1299,5.0,10.0,2,Attorney,Employed,True,0.0,0.0,23.0,"$100,000+",1.0,2.0,VA
Completed,0.1279,4.0,3.0,1,Other,Employed,False,0.0,0.0,0.0,"$1-24,999",1.0,2.0,VA
Current,0.1799,4.0,7.0,1,Professional,Employed,True,1.0,26679.0,13.0,"$100,000+",1.0,35.0,IL
Current,0.0989,6.0,7.0,2,Executive,Employed,True,0.0,0.0,4.0,"$50,000-74,999",1.0,30.0,TN
Completed,0.0929,6.0,8.0,7,Other,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",3.0,62.0,PA
Completed,0.3204,2.0,2.0,2,Social Worker,Employed,True,0.0,0.0,4.0,"$50,000-74,999",5.0,63.0,MI
Current,0.0679,7.0,10.0,1,Attorney,Full-time,True,0.0,0.0,0.0,"$100,000+",2.0,47.0,CA
Current,0.2059,4.0,3.0,13,Construction,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,7.0,MO
Completed,0.2587,3.0,7.0,13,Accountant/CPA,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,10.0,CT
Current,0.1089,6.0,4.0,1,Other,Self-employed,False,0.0,0.0,0.0,"$25,000-49,999",2.0,28.0,MI
Current,0.2999,2.0,4.0,1,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",2.0,48.0,CA
Completed,0.2799,2.0,3.0,7,Other,Retired,False,0.0,0.0,7.0,"$25,000-49,999",1.0,9.0,MN
Current,0.1556,5.0,7.0,1,Sales - Retail,Self-employed,True,0.0,0.0,0.0,"$1-24,999",1.0,6.0,FL
Chargedoff,0.28,1.0,4.0,2,Teacher,Full-time,True,1.0,831.0,3.0,"$50,000-74,999",1.0,33.0,WV
Chargedoff,0.1459,5.0,6.0,1,Other,Other,False,0.0,0.0,0.0,"$50,000-74,999",1.0,10.0,VA
Current,0.1634,4.0,4.0,1,Professional,Employed,True,1.0,3450.0,42.0,"$100,000+",1.0,27.0,NY
Current,0.1374,5.0,9.0,1,Sales - Commission,Employed,True,2.0,4986.0,21.0,"$50,000-74,999",1.0,12.0,WI
Completed,0.2259,3.0,6.0,2,Other,Other,True,1.0,0.0,0.0,"$25,000-49,999",1.0,10.0,NC
Current,0.2118,4.0,4.0,2,Other,Employed,True,1.0,423.0,8.0,"$25,000-49,999",1.0,10.0,IL
Completed,0.2869,2.0,4.0,2,Other,Employed,False,0.0,0.0,0.0,"$50,000-74,999",2.0,18.0,NY
Current,0.0874,6.0,10.0,1,Other,Full-time,False,1.0,14.0,0.0,"$1-24,999",1.0,12.0,NY
Current,0.0599,7.0,10.0,13,Executive,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,9.0,OR
Current,0.0999,6.0,9.0,15,Professional,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,7.0,IL
Current,0.1196,6.0,8.0,1,Postal Service,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",1.0,26.0,NJ
Current,0.2474,3.0,4.0,6,Teacher,Full-time,True,1.0,1090.0,7.0,"$25,000-49,999",1.0,14.0,FL
Current,0.2369,3.0,2.0,1,Nurse (RN),Employed,True,0.0,0.0,0.0,"$50,000-74,999",2.0,16.0,NJ
Current,0.1369,5.0,7.0,2,Truck Driver,Employed,False,0.0,0.0,0.0,"$75,000-99,999",1.0,6.0,IL
Chargedoff,0.34,1.0,4.0,1,Sales - Commission,Full-time,False,0.0,0.0,0.0,"$50,000-74,999",1.0,11.0,CA
Current,0.1214,5.0,8.0,3,Dentist,Self-employed,False,0.0,0.0,0.0,"$100,000+",1.0,23.0,FL
Completed,0.099,5.0,8.0,1,Other,Full-time,False,0.0,0.0,0.0,"$25,000-49,999",4.0,28.0,CO
Past Due (31-60 days),0.3132,2.0,3.0,1,Computer Programmer,Employed,True,1.0,0.0,12.0,"$75,000-99,999",1.0,20.0,MD
Current,0.156,4.0,9.0,1,Engineer - Electrical,Employed,False,1.0,0.0,47.0,"$100,000+",3.0,28.0,CA
Current,0.1029,6.0,9.0,1,Civil Service,Employed,True,0.0,0.0,0.0,"$50,000-74,999",2.0,28.0,CA
Chargedoff,0.1264,6.0,8.0,3,Analyst,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,6.0,TX
Current,0.173,5.0,7.0,2,Skilled Labor,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,35.0,NY
Completed,0.1572,3.0,2.0,7,Sales - Retail,Employed,True,0.0,0.0,0.0,"$25,000-49,999",2.0,32.0,FL
Current,0.1719,5.0,9.0,15,Other,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",4.0,54.0,CA
Current,0.1234,6.0,8.0,6,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,9.0,RI
Completed,0.189,4.0,9.0,7,Tradesman - Electrician,Full-time,False,0.0,0.0,4.0,"$75,000-99,999",1.0,4.0,CA
Current,0.2259,3.0,3.0,2,Other,Other,False,5.0,0.0,14.0,"$25,000-49,999",1.0,11.0,FL
Current,0.156,4.0,7.0,1,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,26.0,CA
Current,0.187,4.0,6.0,1,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,13.0,HI
Current,0.1053,6.0,8.0,1,Other,Employed,False,1.0,51.0,0.0,"$25,000-49,999",1.0,20.0,AR
Current,0.1999,4.0,9.0,18,Professional,Employed,True,0.0,0.0,0.0,"$25,000-49,999",2.0,23.0,IN
Defaulted,0.261,2.0,2.0,1,Other,Employed,True,0.0,0.0,0.0,"$25,000-49,999",2.0,30.0,MA
Current,0.1369,5.0,8.0,6,Skilled Labor,Employed,True,5.0,1078.0,2.0,"$50,000-74,999",1.0,30.0,CA
Current,0.0669,7.0,11.0,3,Police Officer/Correction Officer,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,5.0,LA
Current,0.2319,3.0,5.0,3,Military Enlisted,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,28.0,TX
Current,0.1369,5.0,6.0,1,Teacher,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,10.0,LA
Current,0.0669,7.0,11.0,1,Construction,Employed,True,0.0,0.0,0.0,"$100,000+",2.0,38.0,NY
